text,category,group
I'm not sure why my card didn't work,declined_card_payment,train
I don't think my top up worked,top_up_failed,train
Can you explain why my payment was charged a fee?,card_payment_fee_charged,train
It looks like my card payment was sent back.,reverted_card_payment?,train
Why am I unable to transfer money when I was able to before?,beneficiary_not_allowed,train
What if there is an error on the exchange rate?,card_payment_wrong_exchange_rate,train
After I transferred money the balance remained the same.,balance_not_updated_after_bank_transfer,train
limits on top ups,top_up_limits,train
My card payment was not successful.,declined_card_payment,train
"I have a strange transaction for £1 on my statement, what is that?",extra_charge_on_statement,train
I need my card as quick as possible,card_delivery_estimate,train
Do you charge for sending out more cards?,getting_spare_card,train
Why am I being asked to verify my identity?,why_verify_identity,train
I withdrew cash and I think the exchange rate is wrong.,wrong_exchange_rate_for_cash_withdrawal,train
"My top up hasn't gone through yet, why?",pending_top_up,train
"Hello, I have a question concerning an unfamiliar fee that I notice on my account. I see that you guys charge for ATM withdrawal. Never notice this fee until now. Can you please explain?",cash_withdrawal_charge,train
How long does it take for my physical card to be delivered.,card_delivery_estimate,train
Can I get an update on my replacement card?,card_arrival,train
How do I know what my PIN is?,get_physical_card,train
In which countries can I get a card?,country_support,train
Can I choose from either Visa or Mastercard?,visa_or_mastercard,train
My card still hasn't been delivered,card_arrival,train
I didn't make the direct debit payment on my account.,direct_debit_payment_not_recognised,train
after i got married i need to change my name,edit_personal_details,train
I didn't get all the cash I asked for,wrong_amount_of_cash_received,train
where did my funds come from?,verify_source_of_funds,train
I checked my account and see that funds were deducted from a seller I didn't approve of. Can you help me understand?,direct_debit_payment_not_recognised,train
"Apparently, I went out today to use my new card and was informed my payment was decline. This is really embarrassing, what happen?",declined_card_payment,train
It's requiring me to verify my identity?,why_verify_identity,train
Where can I find my PIN? I haven't gotten it yet.,get_physical_card,train
Why isn't my cash deposit showing up in my account? I deposited it this morning.,balance_not_updated_after_cheque_or_cash_deposit,train
What are the reasons why a card payment would be declined?,declined_card_payment,train
When will I have access to my pin number?,get_physical_card,train
How long does it actually take for a card payment to go through? There's one stuck since a couple of days already that doesn't seem to move,pending_card_payment,train
How do I get my card out of the ATM?,card_swallowed,train
I just sent money but the person I sent it to doesn't see it. What happened?,transfer_not_received_by_recipient,train
"I saw money was taken out of my account by a seller a while back. I do not recognize the seller, but I'm pretty certain I didn't make that payment. Can you track who the seller is?",direct_debit_payment_not_recognised,train
"Hi, I am currently in the process of buying a flat and I am waiting for the mortgage to go through but it keeps showing up as an error.  Do you know what could be causing this and can you help me get the money over.",failed_transfer,train
Am I charged for receiving money?,top_up_by_bank_transfer_charge,train
How do I go about getting hold of a virtual card?,getting_virtual_card,train
Why would my top up be reverted?,top_up_reverted,train
I tried pulling out money at the ATM and it gave me an incorrect amount back.,wrong_amount_of_cash_received,train
Can I use my card to withdraw from my account?,atm_support,train
"I see I was charged extra when I used the card.  I am not sure why, please tell me why.",card_payment_fee_charged,train
There is a record of payment I never submitted on the app.,card_payment_not_recognised,train
"My refund has not arrived, and I am unsure why. Who do I contact?",Refund_not_showing_up,train
What is the procedure for depositing a virtual card,get_disposable_virtual_card,train
I tried to do a transfer but I got a message that it was declined.,declined_transfer,train
How can I dispute a direct debit transaction?,direct_debit_payment_not_recognised,train
Why has transferring money resulted in a charge?,transfer_fee_charged,train
I made a cash withdrawal earlier and it's showing as pending.  What does that mean?,pending_cash_withdrawal,train
Can turn my money into another currency?,exchange_via_app,train
is there a fee for swift transfer,top_up_by_bank_transfer_charge,train
